"","updown","sma.10","RSI","fastK","fastD","larry.williams","ad","cci","mom","macd","wma"
"26",1,63866,47.6279507303909,0.664335664335664,0.486158084339902,0.335664335664336,-1620,39.2452912762103,-1400,-0.0944493186211037,64014.5454545455
"27",-1,63906,47.4820646161079,0.657342657342657,0.527098961644416,0.342657342657343,-2320,40.3700450653817,400,-0.0913217283475487,64038.9090909091
"28",-1,63896,43.7588706239045,0.482517482517482,0.550557321466412,0.517482517482518,-2820,28.7588570927926,-100,-0.150163811936566,63965.0909090909
"29",-1,63760,40.2519162072089,0.307692307692308,0.525128205128205,0.692307692307692,-3680,25.7776024199379,-1360,-0.257096802812518,63802.1818181818
"32",1,63752,46.38217767533,0.262626262626263,0.453209013209013,0.737373737373737,-3160,-56.2388591800382,-460,-0.375275396044106,63459.2727272727
"33",-1,63556,41.8001566502332,0.0133333333333333,0.36787567987568,0.986666666666667,-3660,-98.266403335528,-1960,-0.415941509632711,63326.1818181818
"34",1,63416,42.8046433441223,0.0980392156862745,0.305558389323095,0.901960784313726,-3580,-78.3610755441741,-1400,-0.433108323098197,63243.2727272727
"35",-1,63266,37.42229778846,0,0.248588692353398,1,-4180,-123.4262125903,-1500,-0.51723904696428,63076.7272727273
"37",-1,62904,32.3936064766798,0,0.116420860185566,1,-4780,6.38837480293364,-2100,-0.694323954033094,62716.7272727273
"38",-1,62654,26.466198259749,0,0.0681691119338179,1,-5680,-3.73093503140117,-2500,-0.8927946486597,62370.5454545455
"40",1,62342,39.7699442648462,0.349206349206349,0.0723205160852221,0.650793650793651,-4800,9.33908045977004,-1120,-1.03051947650962,61965.4545454545
"41",-1,62132,32.4953464119769,0,0.0723205160852221,1,-5780,5.27327017608053,-2100,-1.13768100407052,61703.2727272727
"42",-1,61832,30.1215354778095,0,0.0460578898225958,1,-6160,-1.71031296506108,-3000,-1.25836677990482,61410.1818181818
"43",1,61650,38.9839462821403,0.263565891472868,0.0710811456365493,0.736434108527132,-4960,4.07817338110759,-1820,-1.25172058704645,61295.2727272727
"44",-1,61340,31.2201614265708,0,0.0612772240679218,1,-6160,-4.49332707397249,-3100,-1.38779026205678,60995.2727272727
"45",1,61178,40.8229985752353,0.352,0.0964772240679218,0.648,-2980,-4.86364133590285,-1620,-1.3654324267116,60911.6363636364
"46",-1,60728,27.0763708505277,0,0.0964772240679218,1,-5860,-14.8256978763192,-4500,-1.70816622854161,60333.8181818182
"47",-1,60306,25.9956657644869,0,0.0964772240679218,1,-6180,-39.5903854207515,-4220,-2.00319531549649,59779.6363636364
"48",-1,59826,21.5712047703628,0,0.0964772240679218,1,-7660,-44.8008340743924,-4800,-2.41198937752006,59033.0909090909
"49",1,59416,28.0102830858826,0.123239436619718,0.108801167729894,0.876760563380282,-6960,-31.2218552987091,-4100,-2.61694153688733,58501.0909090909
"50",-1,58888,26.956403908195,0.08,0.0818805328092588,0.92,-7260,-30.461848871829,-5280,-2.79166095176611,57989.0909090909
"51",1,58596,38.7374468821696,0.356,0.117480532809259,0.644,-5880,-6.16995747799847,-2920,-2.71285601611556,57824
"52",-1,58300,36.7339139175928,0.272,0.144680532809259,0.728,-6300,-8.23185619830856,-2960,-2.67799432415863,57635.6363636364
"53",1,57990,41.0868258542002,0.405982905982906,0.158922234260263,0.594017094017094,-5760,4.3569122331996,-3100,-2.54769617323307,57599.2727272727
"54",1,57840,44.2441768703819,0.491452991452991,0.208067533405562,0.508547008547009,-5260,15.4234920210842,-1500,-2.36247801294124,57692
"55",-1,57552,41.1790117961245,0.782608695652174,0.251128402970779,0.217391304347826,-5760,11.5759690924498,-2880,-2.25859406701198,57721.0909090909
"56",-1,57416,34.0498381215772,0.191304347826087,0.270258837753388,0.808695652173913,-7120,-73.3716772889785,-1360,-2.33766553613398,57555.2727272727
"57",1,57348,37.2452788163425,0.347826086956522,0.30504144644904,0.652173913043478,-6760,-65.5693397118835,-680,-2.3251905995831,57479.6363636364
"58",-1,57328,32.4000376297094,0,0.30504144644904,1,-7760,-90.6524987547728,-200,-2.42768015847976,57234.5454545455
"60",-1,57128,29.991633946119,0,0.284717502787068,1,-8260,-121.948938557934,-1100,-2.56805167431127,56677.0909090909
"61",-1,56850,28.5755558780642,0,0.249117502787068,1,-8560,-118.100362887487,-2780,-2.64995641553357,56326.5454545455
"62",1,56742,41.6389584168157,0.387878787878788,0.260705381574947,0.612121212121212,-7280,-72.6150147524846,-1080,-2.50625644341129,56259.2727272727
"63",1,56602,43.6086232887889,0.454545454545455,0.265561636431202,0.545454545454545,-7060,-24.7072448848256,-1400,-2.33452140510602,56251.6363636364
"64",1,56600,56.7353701386317,1,0.316416337285903,0,-5280,57.5509655012205,-20,-1.92431198414981,56593.0909090909
"65",1,56700,59.7747435896227,1,0.338155467720685,0,-4760,158.962623951186,1000,-1.50884931402909,57029.4545454545
"66",1,57088,67.2476742511491,1,0.419025032938077,0,-3240,230.969300078961,3880,-0.956657577949527,57724
"68",-1,57840,62.3550851354995,0.902255639097744,0.574467988152199,0.0977443609022556,-3760,84.0037080588064,4000,-0.235914529495063,58813.4545454545
"70",-1,58558,50.7774918340783,0.654135338345865,0.73010708589656,0.345864661654135,-5080,57.6815608523462,3180,-0.02155494048387,59286.1818181818
"71",1,58938,53.1219859935644,0.623762376237624,0.792483323520322,0.376237623762376,-4760,57.1264576158544,3800,0.0171143377507788,59366.5454545455
"72",1,59290,59.7746127933258,0.863874345549738,0.840082879287417,0.136125654450262,-3760,71.8455508297892,3520,0.182686021397793,59559.6363636364
"74",-1,59596,45.6868304002406,0,0.76913813775444,1,-5520,45.2596152433024,-240,0.168165488986927,59437.8181818182
"75",1,59530,46.4831027084504,0.043859649122807,0.673524102666721,0.956140350877193,-5420,41.9943820224722,-660,0.0685865221916826,59209.4545454545
"76",1,59460,56.8790484933458,0.692982456140351,0.642822348280756,0.307017543859649,-3940,55.22467620406,-700,0.190099774324404,59262.1818181818
"77",1,59408,57.9820502815961,1,0.642822348280756,0,-2940,55.8547538551277,-520,0.307155333885145,59360.3636363636
